GCVS S And                      =M31 V0894
GCVS QZ Lup                     =NSV 06855
GCVS V0335 Lup                  =NSV 06858
GCVS V0336 Lup                  =NSV 06862
GCVS V0337 Lup                  =NSV 06880
GCVS V0338 Lup                  =NSV 06894
GCVS V0340 Lup                  =NSV 06901
GCVS V0341 Lup                  =NSV 06903
GCVS V0342 Lup                  =NSV 06907
GCVS V0343 Lup                  =NSV 06913
GCVS V0344 Lup                  =NSV 06914
GCVS V0345 Lup                  =NSV 06916
GCVS V0346 Lup                  =NSV 06918
GCVS V0347 Lup                  =NSV 06922
GCVS V0348 Lup                  =NSV 06919
GCVS V0349 Lup                  =NSV 06944
GCVS V0350 Lup                  =NSV 06946
GCVS V0351 Lup                  =NSV 06953
GCVS V0352 Lup                  =NSV 06949
GCVS V0354 Lup                  =NSV 06960
GCVS V0355 Lup                  =NSV 06963
GCVS V0356 Lup                  =NSV 06965
GCVS V0357 Lup                  =NSV 06971
GCVS V0359 Lup                  =NSV 06978
GCVS V0360 Lup                  =NSV 06992
GCVS V0361 Lup                  =NSV 06993
GCVS V0362 Lup                  =NSV 06996
GCVS V0365 Lup                  =NSV 07017
GCVS V0367 Lup                  =NSV 07022
GCVS V0369 Lup                  =NSV 07050
GCVS V0370 Lup                  =NSV 07053
GCVS V0371 Lup                  =NSV 07055
GCVS V0372 Lup                  =NSV 07064
GCVS V0373 Lup                  =NSV 07082
GCVS V0374 Lup                  =NSV 07083
GCVS V0375 Lup                  =NSV 07090
GCVS V0377 Lup                  =NSV 07092
GCVS V0378 Lup                  =NSV 07120
GCVS V0380 Lup                  =NSV 07140
GCVS V0381 Lup                  =NSV 07145
GCVS V0382 Lup                  =NSV 07168
GCVS V0383 Lup                  =NSV 07218
GCVS V0384 Lup                  =NSV 07215
GCVS V0385 Lup                  =NSV 07219
GCVS V0386 Lup                  =NSV 07227
GCVS V0387 Lup                  =NSV 07279
GCVS V0388 Lup                  =NSV 07282
GCVS V0389 Lup                  =NSV 07291
GCVS V0390 Lup                  =NSV 07295
GCVS V0391 Lup                  =NSV 07243
GCVS V0392 Lup                  =NSV 07352
GCVS V0393 Lup                  =NSV 07353
GCVS V0394 Lup                  =NSV 07382
GCVS V0395 Lup                  =NSV 07388
GCVS V0397 Lup                  =NSV 07404
GCVS V0398 Lup                  =NSV 07406
GCVS V0399 Lup                  =NSV 07411
GCVS V0406 Lup                  =NSV 07442
GCVS UZ Lyn                     =NSV 02902
GCVS AP Lyn                     =NSV 03020
GCVS BL Lyn                     =NSV 03622
GCVS BM Lyn                     =NSV 03726
GCVS BN Lyn                     =NSV 04030
GCVS BR Lyn                     =NSV 03241
GCVS BV Lyn                     =NSV 03386
GCVS BY Lyn                     =NSV 03597
GCVS BZ Lyn                     =NSV 03614
GCVS DI Lyn                     =NSV 18235
GCVS DO Lyn                     =NSV 17583
GCVS DQ Lyn                     =NSV 17869
GCVS DU Lyn                     =NSV 03721
GCVS EF Lyn                     =NSV 17822
GCVS EI Lyn                     =NSV 18152
GCVS EK Lyn                     =NSV 03878
GCVS EL Lyn                     =NSV 17878
GCVS EM Lyn                     =NSV 17902
GCVS EN Lyn                     =NSV 18027
GCVS HK Lyn                     =NSV 03727
GCVS KX Lyn                     =NSV 17910
GCVS MR Lyn                     =NSV 18033
GCVS BI Lyr                     =V0489 Lyr
GCVS V0372 Lyr                  =V0454 Lyr
GCVS V0471 Lyr                  =NSV 11806
GCVS V0473 Lyr                  =NSV 11865
GCVS V0477 Lyr                  =NSV 10973
GCVS V0481 Lyr                  =NSV 11365
GCVS V0529 Lyr                  =NSV 10793
GCVS V0541 Lyr                  =NSV 11498
GCVS V0547 Lyr                  =NSV 11652
GCVS V0563 Lyr                  =NSV 11321
GCVS V0577 Lyr                  =NSV 11259
GCVS V0598 Lyr                  =NSV 24754
GCVS V0612 Lyr                  =NSV 24759
GCVS V0634 Lyr                  =NSV 24762
GCVS V0635 Lyr                  =QV Her
GCVS V0636 Lyr                  =NSV 11363
GCVS V0652 Lyr                  =NSV 24467
GCVS V0675 Lyr                  =NSV 11753
GCVS V0742 Lyr                  =NSV 11154
GCVS V0744 Lyr                  =NSV 11476
GCVS V0834 Lyr                  =NSV 10763
GCVS V0835 Lyr                  =NSV 10876
GCVS V0837 Lyr                  =NSV 11042
GCVS V0839 Lyr                  =NSV 11081
GCVS V0841 Lyr                  =NSV 11194
GCVS V0844 Lyr                  =NSV 11228
GCVS V0845 Lyr                  =NSV 11272
GCVS V0846 Lyr                  =NSV 11294
GCVS V0847 Lyr                  =NSV 11306
GCVS V0849 Lyr                  =NSV 11369
GCVS V0850 Lyr                  =NSV 11371
GCVS V0851 Lyr                  =NSV 11453
GCVS V0855 Lyr                  =NSV 11565
GCVS V0856 Lyr                  =NSV 11563
GCVS V0857 Lyr                  =NSV 11604
GCVS V0858 Lyr                  =NSV 11602
GCVS V0860 Lyr                  =NSV 11622
GCVS V0861 Lyr                  =NSV 11621
GCVS V0862 Lyr                  =NSV 11637
GCVS V0863 Lyr                  =NSV 11630
GCVS V0864 Lyr                  =NSV 11671
GCVS V0866 Lyr                  =NSV 11679
GCVS V0868 Lyr                  =NSV 11717
GCVS V0871 Lyr                  =NSV 11740
GCVS V0880 Lyr                  =NSV 11780
GCVS V0884 Lyr                  =NSV 11809
GCVS V0886 Lyr                  =NSV 11864
GCVS V0888 Lyr                  =NSV 11893
GCVS V0889 Lyr                  =NSV 11905
GCVS V0891 Lyr                  =NSV 11910
GCVS V0894 Lyr                  =NSV 12005
GCVS V0895 Lyr                  =NSV 12009
GCVS alf Lyr                    =NSV 11128
GCVS T Men                      =LMC V1340
GCVS W Men                      =LMC V2643
GCVS Z Men                      =NSV 01555
GCVS RS Men                     =LMC V1859
GCVS RT Men                     =LMC V0006
GCVS RU Men                     =LMC V4660
GCVS RV Men                     =LMC V4703
GCVS RV Men                     =NSV 02926
GCVS RW Men                     =LMC V4710
GCVS RX Men                     =NSV 01164
GCVS SX Men                     =LMC V0002
GCVS SY Men                     =LMC V0008
GCVS SZ Men                     =LMC V0010
GCVS WX Men                     =LMC V3474
GCVS XY Men                     =LMC V2292
GCVS ZZ Men                     =LMC V1880
GCVS AA Men                     =LMC V4626
GCVS AB Men                     =LMC V0012
GCVS AC Men                     =LMC V1809
GCVS AD Men                     =LMC V4671
GCVS AF Men                     =LMC V1650
GCVS AG Men                     =LMC V4104
GCVS AL Men                     =NSV 02445
GCVS AN Men                     =NSV 02832
GCVS AR Men                     =NSV 01196
GCVS AS Men                     =NSV 01675
GCVS AT Men                     =LMC V0143
GCVS AT Men                     =NSV 01770
GCVS AU Men                     =LMC V4608
GCVS AU Men                     =NSV 02750
GCVS AV Men                     =NSV 02947
GCVS AW Men                     =NSV 03443
GCVS AX Men                     =NSV 03534
GCVS AY Men                     =NSV 17537
GCVS AZ Men                     =NSV 01434
GCVS RT Mic                     =NSV 13174
GCVS CX Mic                     =NSV 13344
GCVS CY Mic                     =NSV 13346
GCVS CZ Mic                     =NSV 13389
GCVS DE Mic                     =NSV 13515
GCVS DF Mic                     =NSV 13190
GCVS DG Mic                     =NSV 13605
GCVS DK Mic                     =NSV 13676
GCVS DT Mic                     =NSV 13119
GCVS DU Mic                     =NSV 13165
GCVS DV Mic                     =NSV 13206
GCVS DW Mic                     =NSV 13210
GCVS DY Mic                     =NSV 13302
GCVS DZ Mic                     =NSV 13536
GCVS EE Mic                     =NSV 13611
GCVS EF Mic                     =NSV 13664
GCVS EG Mic                     =NSV 13667
GCVS EH Mic                     =NSV 13687
GCVS EI Mic                     =NSV 13709
GCVS GR Mon                     =V0359 Mon
GCVS LL Mon                     =NSV 16984
GCVS OP Mon                     =NSV 17082
GCVS PW Mon                     =NSV 17081
GCVS QZ Mon                     =NSV 16989
GCVS V0349 Mon                  =NSV 17057
GCVS V0369 Mon                  =NSV 17146
GCVS V0411 Mon                  =NSV 16982
GCVS V0580 Mon                  =NSV 17045
GCVS V0608 Mon                  =NSV 03123
GCVS V0640 Mon                  =NSV 03048
GCVS V0644 Mon                  =NSV 03298
GCVS V0650 Mon                  =NSV 03071
GCVS V0654 Mon                  =NSV 02938
GCVS V0680 Mon                  =NSV 03323
GCVS V0681 Mon                  =NSV 03772
GCVS V0687 Mon                  =NSV 02996
GCVS V0689 Mon                  =NSV 03060
GCVS V0695 Mon                  =NSV 03857
GCVS V0696 Mon                  =NSV 02817
GCVS V0697 Mon                  =NSV 02871
GCVS V0698 Mon                  =NSV 02992
GCVS V0714 Mon                  =NSV 02980
GCVS V0716 Mon                  =NSV 03775
GCVS V0745 Mon                  =NSV 03277
GCVS V0747 Mon                  =NSV 03297
GCVS V0748 Mon                  =NSV 03334
GCVS V0777 Mon                  =NSV 02919
GCVS V0781 Mon                  =NSV 03115
GCVS V0805 Mon                  =NSV 03092
GCVS V0806 Mon                  =NSV 03112
GCVS V0807 Mon                  =NSV 03116
GCVS V0809 Mon                  =NSV 17078
GCVS V0814 Mon                  =NSV 03124
GCVS V0816 Mon                  =NSV 03127
GCVS V0818 Mon                  =NSV 03132
GCVS V0820 Mon                  =NSV 03139
GCVS V0821 Mon                  =NSV 17116
GCVS V0840 Mon                  =NSV 17188
GCVS V0844 Mon                  =NSV 03799
GCVS V0863 Mon                  =NSV 03376
GCVS V0872 Mon                  =NSV 02941
GCVS V0873 Mon                  =NSV 02962
GCVS V0874 Mon                  =NSV 03014
GCVS V0875 Mon                  =NSV 16906
GCVS V0876 Mon                  =NSV 03057
GCVS V0877 Mon                  =NSV 03180
GCVS V0878 Mon                  =NSV 17227
GCVS V0879 Mon                  =NSV 03282
GCVS V0880 Mon                  =NSV 17236
GCVS V0881 Mon                  =NSV 03300
GCVS V0882 Mon                  =NSV 03305
GCVS V0883 Mon                  =NSV 17258
GCVS V0884 Mon                  =NSV 03371
GCVS V0885 Mon                  =NSV 17388
GCVS V0886 Mon                  =NSV 03532
GCVS V0887 Mon                  =NSV 17440
GCVS V0888 Mon                  =NSV 03645
GCVS V0889 Mon                  =NSV 03647
GCVS V0890 Mon                  =NSV 03654
GCVS V0891 Mon                  =NSV 17552
GCVS V0892 Mon                  =NSV 03692
GCVS V0893 Mon                  =NSV 03719
GCVS V0894 Mon                  =NSV 03730
GCVS V0895 Mon                  =NSV 03757
GCVS V0896 Mon                  =NSV 03844
GCVS V0897 Mon                  =NSV 03850
GCVS V0898 Mon                  =NSV 03866
GCVS V0920 Mon                  =NSV 17253
GCVS V0923 Mon                  =NSV 17267
GCVS V0926 Mon                  =NSV 17285
GCVS V0930 Mon                  =NSV 17346
GCVS V0931 Mon                  =NSV 17356
GCVS V0962 Mon                  =NSV 16773
GCVS V0972 Mon                  =NSV 03077
GCVS V0973 Mon                  =NSV 03114
GCVS V0974 Mon                  =NSV 17076
GCVS V0975 Mon                  =NSV 03137
GCVS V0976 Mon                  =NSV 03144
GCVS V0977 Mon                  =NSV 17124
GCVS V0978 Mon                  =NSV 03153
GCVS bet Mon                    =NSV 02977
GCVS RV Mus                     =FI Mus
GCVS RX Mus                     =FN Mus
GCVS YZ Mus                     =GH Mus
GCVS CR Mus                     =FP Mus
GCVS DY Mus                     =FX Mus
GCVS EE Mus                     =NSV 06037
GCVS FG Mus                     =NSV 05838
GCVS FM Mus                     =NSV 05992
GCVS FS Mus                     =NSV 06049
GCVS FU Mus                     =NSV 06066
GCVS FV Mus                     =NSV 06119
GCVS FW Mus                     =NSV 06122
GCVS GG Mus                     =NSV 06274
GCVS GI Mus                     =NSV 06289
GCVS GK Mus                     =NSV 05205
GCVS GL Mus                     =NSV 05281
GCVS GM Mus                     =NSV 05507
GCVS GN Mus                     =NSV 05781
GCVS GO Mus                     =NSV 05831
GCVS GS Mus                     =NSV 05454
GCVS GT Mus                     =NSV 05283
GCVS IQ Mus                     =NSV 05795
GCVS KN Mus                     =NSV 06296
GCVS LS Mus                     =NSV 06063
GCVS LY Mus                     =NSV 06364
GCVS MM Mus                     =NSV 05551
GCVS MQ Mus                     =NSV 05295
GCVS MR Mus                     =NSV 18844
GCVS MS Mus                     =NSV 05356
GCVS MT Mus                     =NSV 06100
GCVS MU Mus                     =NSV 05175
GCVS MV Mus                     =NSV 05180
GCVS MW Mus                     =NSV 05186
GCVS MX Mus                     =NSV 05216
GCVS MY Mus                     =NSV 05233
GCVS MZ Mus                     =NSV 05236
GCVS NN Mus                     =NSV 05247
GCVS NO Mus                     =NSV 05275
GCVS NP Mus                     =NSV 05296
GCVS NQ Mus                     =NSV 05300
GCVS NR Mus                     =NSV 05301
GCVS NS Mus                     =NSV 05333
GCVS NT Mus                     =NSV 05331
GCVS NU Mus                     =NSV 05343
GCVS NV Mus                     =NSV 05342
GCVS NW Mus                     =NSV 05372
GCVS NX Mus                     =NSV 05377
GCVS NY Mus                     =NSV 05409
GCVS NZ Mus                     =NSV 05412
GCVS OO Mus                     =NSV 05439
GCVS OP Mus                     =NSV 05442
GCVS OQ Mus                     =NSV 05443
GCVS OR Mus                     =NSV 05466
GCVS OS Mus                     =NSV 05473
GCVS OT Mus                     =NSV 05512
GCVS OU Mus                     =NSV 05533
GCVS OV Mus                     =NSV 05577
GCVS OW Mus                     =NSV 05648
GCVS OX Mus                     =NSV 05657
GCVS OY Mus                     =NSV 05756
GCVS OZ Mus                     =NSV 05769
GCVS PP Mus                     =NSV 05779
GCVS PQ Mus                     =NSV 05892
GCVS PR Mus                     =NSV 05919
GCVS PS Mus                     =NSV 06021
GCVS PT Mus                     =NSV 06033
GCVS PU Mus                     =NSV 06051
GCVS PV Mus                     =NSV 06073
GCVS PW Mus                     =NSV 06105
GCVS PX Mus                     =NSV 06126
GCVS PY Mus                     =NSV 06138
GCVS PZ Mus                     =NSV 06189
GCVS QQ Mus                     =NSV 06222
GCVS QR Mus                     =NSV 06221
GCVS QS Mus                     =NSV 06241
GCVS QT Mus                     =NSV 06240
GCVS QU Mus                     =NSV 06233
GCVS QV Mus                     =NSV 06251
GCVS QW Mus                     =NSV 06285
GCVS QX Mus                     =NSV 06420
GCVS QZ Mus                     =NSV 18797
GCVS V0351 Mus                  =NSV 06438
GCVS V0352 Mus                  =NSV 06447
GCVS V0353 Mus                  =NSV 06448
GCVS V0355 Mus                  =NSV 19379
GCVS alf Mus                    =NSV 05776
GCVS QT Nor                     =GG Nor
GCVS QW Nor                     =NSV 07374
GCVS QZ Nor                     =NSV 07493
GCVS V0345 Nor                  =NSV 07429
GCVS V0345 Nor                  =V0352 Nor
GCVS V0359 Nor                  =NSV 07199
GCVS V0367 Nor                  =NSV 07527
GCVS V0368 Nor                  =NSV 07574
GCVS V0384 Nor                  =NSV 20495
GCVS V0386 Nor                  =NSV 20635
GCVS V0387 Nor                  =NSV 20636
GCVS V0388 Nor                  =NSV 20637
GCVS V0389 Nor                  =AS TrA
GCVS V0391 Nor                  =NSV 20323
GCVS V0392 Nor                  =NSV 07118
GCVS V0393 Nor                  =NSV 07274
GCVS V0394 Nor                  =NSV 07355
GCVS V0395 Nor                  =NSV 07377
GCVS V0396 Nor                  =NSV 07400
GCVS V0397 Nor                  =NSV 07563
GCVS V0398 Nor                  =NSV 07642
GCVS V0399 Nor                  =NSV 20599
GCVS V0400 Nor                  =NSV 07763
GCVS V0401 Nor                  =NSV 07057
GCVS V0403 Nor                  =NSV 07117
GCVS V0406 Nor                  =NSV 07131
GCVS V0407 Nor                  =NSV 07137
GCVS V0408 Nor                  =NSV 07189
GCVS V0409 Nor                  =NSV 07212
GCVS V0452 Nor                  =NSV 07357
GCVS V0454 Nor                  =NSV 07423
GCVS V0455 Nor                  =NSV 07427
GCVS V0455 Nor                  =NSV 07428
GCVS V0456 Nor                  =NSV 07425
GCVS V0457 Nor                  =NSV 07430
GCVS V0463 Nor                  =NSV 07523
GCVS V0493 Nor                  =NSV 20419
GCVS V0497 Nor                  =NSV 07436
GCVS V0498 Nor                  =NSV 07431
GCVS V0499 Nor                  =NSV 07440
GCVS V0500 Nor                  =NSV 07450
GCVS V0501 Nor                  =NSV 07459
GCVS V0502 Nor                  =NSV 07456
GCVS V0504 Nor                  =NSV 07483
GCVS V0505 Nor                  =NSV 07487
GCVS V0506 Nor                  =NSV 07491
GCVS V0506 Nor                  =NSV 07496
GCVS V0510 Nor                  =NSV 07521
GCVS V0511 Nor                  =NSV 07525
GCVS V0513 Nor                  =NSV 07536
GCVS V0518 Nor                  =NSV 07553
GCVS V0535 Nor                  =NSV 07589
GCVS V0537 Nor                  =NSV 07593
GCVS V0538 Nor                  =NSV 07620
GCVS V0541 Nor                  =NSV 07659
GCVS V0543 Nor                  =NSV 07671
GCVS V0548 Nor                  =NSV 07691
GCVS V0552 Nor                  =NSV 07752
GCVS V0553 Nor                  =NSV 07759
GCVS V0554 Nor                  =NSV 07792
GCVS V0557 Nor                  =NSV 20407
GCVS V0558 Nor                  =NSV 20473
GCVS RR Oct                     =SV Oct
GCVS ZZ Oct                     =NSV 12214
GCVS CF Oct                     =NSV 13267
GCVS CH Oct                     =NSV 14412
GCVS CI Oct                     =NSV 14619
GCVS CV Oct                     =NSV 07790
GCVS DL Oct                     =NSV 13906
GCVS DR Oct                     =NSV 18355
GCVS DS Oct                     =NSV 04378
GCVS DT Oct                     =NSV 10934
GCVS DU Oct                     =NSV 25330
GCVS DV Oct                     =RR Hyi
GCVS DW Oct                     =NSV 00244
GCVS DX Oct                     =NSV 01067
GCVS DY Oct                     =NSV 03694
GCVS DZ Oct                     =NSV 04350
GCVS EE Oct                     =NSV 04992
GCVS EF Oct                     =NSV 05065
GCVS EG Oct                     =NSV 05267
GCVS EH Oct                     =NSV 05292
GCVS EI Oct                     =NSV 05654
GCVS EK Oct                     =NSV 05959
GCVS EL Oct                     =NSV 06034
GCVS EM Oct                     =NSV 06158
GCVS EN Oct                     =NSV 06150
GCVS EO Oct                     =NSV 06749
GCVS EP Oct                     =NSV 07038
GCVS EQ Oct                     =NSV 08042
GCVS ER Oct                     =NSV 12460
GCVS ES Oct                     =NSV 13608
GCVS ET Oct                     =NSV 13979
GCVS EU Oct                     =NSV 14315
GCVS EV Oct                     =NSV 00002
GCVS EW Oct                     =NSV 04438
GCVS EX Oct                     =NSV 06976
GCVS EY Oct                     =NSV 07031
GCVS FG Oct                     =NSV 11434
GCVS FI Oct                     =NSV 11605
GCVS FO Oct                     =NSV 08113
GCVS FP Oct                     =NSV 09627
GCVS FU Oct                     =NSV 10289
GCVS FV Oct                     =NSV 10380
GCVS FW Oct                     =NSV 11825
GCVS FX Oct                     =NSV 11777
GCVS FY Oct                     =NSV 12539
GCVS FZ Oct                     =NSV 12723
GCVS GG Oct                     =NSV 12754
GCVS GH Oct                     =NSV 13039
GCVS GI Oct                     =NSV 13276
GCVS GK Oct                     =NSV 13574
GCVS GL Oct                     =NSV 13770
GCVS GM Oct                     =NSV 13816
GCVS GN Oct                     =NSV 13830
GCVS GO Oct                     =NSV 13780
GCVS GP Oct                     =NSV 13862
GCVS GQ Oct                     =NSV 13879
GCVS eps Oct                    =BO Oct
GCVS HR Oph                     =NSV 20935
GCVS IY Oph                     =NSV 21012
GCVS V0362 Oph                  =NSV 20993
GCVS V0479 Oph                  =NSV 09963
GCVS V1003 Oph                  =V2132 Oph
GCVS V1055 Oph                  =NSV 08072
GCVS V1371 Oph                  =NSV 08189
GCVS V2058 Oph                  =NSV 07705
GCVS V2112 Oph                  =NSV 08505
GCVS V2115 Oph                  =V2529 Oph
GCVS V2129 Oph                  =NSV 07733
GCVS V2130 Oph                  =NSV 07744
GCVS V2131 Oph                  =NSV 07780
GCVS V2135 Oph                  =NSV 08119
GCVS V2138 Oph                  =NSV 08287
GCVS V2140 Oph                  =NSV 08289
GCVS V2143 Oph                  =NSV 08292
GCVS V2147 Oph                  =NSV 08307
GCVS V2148 Oph                  =NSV 08311
GCVS V2153 Oph                  =NSV 08336
GCVS V2163 Oph                  =NSV 08350
GCVS V2169 Oph                  =NSV 08365
GCVS V2172 Oph                  =NSV 08366
GCVS V2175 Oph                  =NSV 08372
GCVS V2176 Oph                  =NSV 08376
GCVS V2180 Oph                  =NSV 08386
GCVS V2183 Oph                  =NSV 08393
GCVS V2185 Oph                  =NSV 08401
GCVS V2186 Oph                  =NSV 08405
GCVS V2188 Oph                  =NSV 08408
GCVS V2201 Oph                  =NSV 09602
GCVS V2202 Oph                  =NSV 09635
GCVS V2203 Oph                  =NSV 09738
GCVS V2204 Oph                  =NSV 10797
GCVS V2206 Oph                  =NSV 08006
GCVS V2207 Oph                  =NSV 08098
GCVS V2210 Oph                  =NSV 09716
GCVS V2211 Oph                  =NSV 09764
GCVS V2217 Oph                  =NSV 09206
GCVS V2218 Oph                  =NSV 09207
GCVS V2219 Oph                  =NSV 09229
GCVS V2220 Oph                  =NSV 09230
GCVS V2221 Oph                  =NSV 09241
GCVS V2222 Oph                  =NSV 09259
GCVS V2223 Oph                  =NSV 09286
GCVS V2224 Oph                  =NSV 09290
GCVS V2225 Oph                  =NSV 09312
GCVS V2226 Oph                  =NSV 09314
GCVS V2227 Oph                  =NSV 09315
GCVS V2228 Oph                  =NSV 09337
GCVS V2229 Oph                  =NSV 09344
GCVS V2230 Oph                  =NSV 09351
GCVS V2231 Oph                  =NSV 09376
GCVS V2232 Oph                  =NSV 09391
GCVS V2233 Oph                  =NSV 09392
GCVS V2234 Oph                  =NSV 09419
GCVS V2235 Oph                  =NSV 09418
GCVS V2236 Oph                  =NSV 09432
GCVS V2237 Oph                  =NSV 09436
GCVS V2238 Oph                  =NSV 09443
GCVS V2239 Oph                  =NSV 09466
GCVS V2240 Oph                  =NSV 09469
GCVS V2241 Oph                  =NSV 09473
GCVS V2242 Oph                  =NSV 09484
GCVS V2247 Oph                  =NSV 07725
GCVS V2251 Oph                  =NSV 07720
GCVS V2252 Oph                  =NSV 07776
GCVS V2257 Oph                  =NSV 20943
GCVS V2261 Oph                  =NSV 21264
GCVS V2288 Oph                  =NSV 09538
GCVS V2298 Oph                  =NSV 09595
GCVS V2306 Oph                  =NSV 07768
GCVS V2311 Oph                  =NSV 08891
GCVS V2312 Oph                  =NSV 09136
GCVS V2338 Oph                  =NSV 10183
GCVS V2361 Oph                  =NSV 08127
GCVS V2368 Oph                  =NSV 08438
GCVS V2389 Oph                  =NSV 09869
GCVS V2392 Oph                  =NSV 10466
GCVS V2398 Oph                  =NSV 20879
GCVS V2425 Oph                  =NSV 08513
GCVS V2463 Oph                  =NSV 08653
GCVS V2464 Oph                  =NSV 08654
GCVS V2467 Oph                  =NSV 08679
GCVS V2468 Oph                  =NSV 08678
GCVS V2471 Oph                  =NSV 08710
GCVS V2472 Oph                  =NSV 08757
GCVS V2474 Oph                  =NSV 08787
GCVS V2481 Oph                  =NSV 08922
GCVS V2483 Oph                  =NSV 09001
GCVS V2484 Oph                  =NSV 09028
GCVS V2491 Oph                  =NSV 22756
GCVS V2493 Oph                  =NSV 09295
GCVS V2499 Oph                  =NSV 09887
GCVS V2500 Oph                  =NSV 09910
GCVS V2502 Oph                  =NSV 24359
GCVS V2503 Oph                  =NSV 07695
GCVS V2503 Oph                  =NSV 07696
GCVS V2507 Oph                  =NSV 20773
GCVS V2508 Oph                  =NSV 20775
GCVS V2522 Oph                  =NSV 08220
GCVS V2523 Oph                  =NSV 08226
GCVS V2524 Oph                  =NSV 08267
GCVS V2526 Oph                  =NSV 21466
GCVS V2530 Oph                  =NSV 09100
GCVS V2548 Oph                  =NSV 20950
GCVS V2563 Oph                  =NSV 10148
GCVS V2577 Oph                  =NSV 07549
GCVS V2580 Oph                  =NSV 07884
GCVS V2582 Oph                  =NSV 08001
GCVS V2588 Oph                  =NSV 08095
GCVS V2590 Oph                  =NSV 08097
GCVS V2591 Oph                  =NSV 08101
GCVS V2594 Oph                  =NSV 08132
GCVS V2597 Oph                  =NSV 08147
GCVS V2598 Oph                  =NSV 08184
GCVS V2600 Oph                  =NSV 08266
GCVS V2601 Oph                  =NSV 08293
GCVS V2602 Oph                  =NSV 08470
GCVS V2604 Oph                  =NSV 08766
GCVS V2605 Oph                  =NSV 08952
GCVS V2609 Oph                  =NSV 09820
GCVS V2611 Oph                  =NSV 10115
GCVS V2612 Oph                  =NSV 10892
GCVS V2614 Oph                  =V1124 Sco
GCVS V2616 Oph                  =NSV 07722
GCVS V2617 Oph                  =NSV 07730
GCVS V2618 Oph                  =NSV 07750
GCVS V2619 Oph                  =NSV 07931
GCVS V2620 Oph                  =NSV 07999
GCVS V2621 Oph                  =NSV 07996
GCVS V2622 Oph                  =NSV 08003
GCVS V2623 Oph                  =NSV 08131
GCVS V2624 Oph                  =NSV 20892
GCVS V2625 Oph                  =NSV 08154
GCVS V2626 Oph                  =NSV 20913
GCVS V2627 Oph                  =NSV 08188
GCVS V2628 Oph                  =NSV 08195
GCVS V2629 Oph                  =NSV 08219
GCVS V2630 Oph                  =NSV 21011
GCVS V2631 Oph                  =NSV 08256
GCVS V2632 Oph                  =NSV 08269
GCVS V2633 Oph                  =NSV 08286
GCVS V2634 Oph                  =NSV 08339
GCVS V2635 Oph                  =NSV 08441
GCVS V2636 Oph                  =NSV 08472
GCVS V2637 Oph                  =NSV 08493
GCVS V2638 Oph                  =NSV 08486
GCVS V2639 Oph                  =NSV 08569
GCVS V2640 Oph                  =NSV 08780
GCVS V2641 Oph                  =NSV 09159
GCVS V2642 Oph                  =NSV 09234
GCVS V2643 Oph                  =NSV 09200
GCVS V2644 Oph                  =NSV 09226
GCVS V2645 Oph                  =NSV 09504
GCVS V2646 Oph                  =NSV 09517
GCVS V2647 Oph                  =NSV 09550
GCVS V2648 Oph                  =NSV 09569
GCVS V2649 Oph                  =NSV 09596
GCVS V2650 Oph                  =NSV 09637
GCVS V2651 Oph                  =NSV 09727
GCVS V2652 Oph                  =NSV 09748
GCVS V2653 Oph                  =NSV 24021
GCVS V2654 Oph                  =NSV 09851
GCVS V2655 Oph                  =NSV 09866
GCVS V2656 Oph                  =NSV 09872
GCVS V2657 Oph                  =NSV 09905
GCVS V2658 Oph                  =NSV 09902
GCVS V2659 Oph                  =NSV 09919
GCVS V2660 Oph                  =NSV 09995
GCVS V2661 Oph                  =NSV 10019
GCVS V2662 Oph                  =NSV 10061
GCVS V2663 Oph                  =NSV 10072
GCVS V2664 Oph                  =NSV 10140
GCVS V2665 Oph                  =NSV 10202
GCVS V2666 Oph                  =NSV 10287
GCVS V2667 Oph                  =NSV 10439
GCVS V2668 Oph                  =NSV 10478
GCVS V2669 Oph                  =NSV 10595
GCVS V2714 Oph                  =NSV 20945
GCVS V2728 Oph                  =NSV 08733
GCVS V2729 Oph                  =NSV 08869
GCVS V2730 Oph                  =NSV 08970
GCVS V2732 Oph                  =NSV 09004
GCVS V2733 Oph                  =NSV 09046
GCVS V2743 Oph                  =NSV 09519
GCVS V2745 Oph                  =NSV 09555
GCVS V2747 Oph                  =NSV 09592
GCVS V2749 Oph                  =NSV 09642
GCVS V2752 Oph                  =NSV 09740
GCVS V2761 Oph                  =NSV 09840
GCVS V2764 Oph                  =NSV 10069
GCVS V2825 Oph                  =NSV 07677
GCVS V2826 Oph                  =NSV 07687
GCVS V2827 Oph                  =NSV 07718
GCVS V2828 Oph                  =NSV 07727
GCVS V2829 Oph                  =NSV 07737
GCVS V2830 Oph                  =NSV 07741
GCVS V2831 Oph                  =NSV 07749
GCVS V2832 Oph                  =NSV 07751
GCVS V2833 Oph                  =NSV 07758
GCVS V2834 Oph                  =NSV 07761
GCVS V2835 Oph                  =NSV 07770
GCVS V2836 Oph                  =NSV 07771
GCVS V2837 Oph                  =NSV 20665
GCVS V2838 Oph                  =NSV 07787
GCVS V2839 Oph                  =NSV 07838
GCVS V2840 Oph                  =NSV 07852
GCVS V2841 Oph                  =NSV 07876
GCVS V2842 Oph                  =NSV 07895
GCVS V2843 Oph                  =NSV 07919
