HIP   |HD    |BD         |HR  |Fl |Bayer|Comp  |RA          |Dec         |Px    |pmRA    |pmDe    |SpType                    |RV     |mB    |mV   |mI    |B-V   |Cst|Star name                 |FlN    |BaN      |
 63688|113120|CD-70  1002|4930|   |     |AB    |195.77233555|-71.47572318|  3.26|  -15.20|   -2.00|B2IVne                    |  -5.00| 8.436| 8.44| 8.397|-0.004|And|                          |       |         |
 63724|113314|CD-48  7887|4933|   |Ksi01|      |195.88895004|-49.52723639| 14.79|  -47.43|  -11.51|A1IV-V                    |   0.00| 6.506| 5.40| 4.408| 1.106|Cet|                          |       |Ksi01Cet |
 63738|113415|BD-19 3629 |4935|   |     |AB    |195.94177871|-20.58350967| 35.45|  133.70|    1.00|F8.5V                     |  26.80| 9.128| 8.05| 7.119| 1.078|Psc|                          |       |         |
 63750|113459|BD-02 3622 |4937|48 |     |AB    |195.97683932| -3.66304676|  6.45|  -33.80|  -35.90|A9 IV                     |   3.00| 8.145| 8.03| 7.931| 0.115|Cas|                          |48Cas  |         |
 63820|113523|CD-40  7662|4938|   |     |      |196.20103509|-41.19628173|  2.74|  -16.77|  -16.37|M3/4 III                  | -31.70| 9.575| 8.95| 8.330| 0.625|Phe|                          |       |         |
 63822|113889|BD+73  583 |4950|   |     |AB    |196.20742479| 73.02495233|  8.32|  -17.30|   12.70|F0   V                    | -16.00| 8.920| 7.39| 6.237| 1.530|Cas|                          |       |         |
 63883|113602|CD-51  7248|4939|   |     |      |196.37844603|-52.11568210|  3.22|  -51.20|    9.24|M1 III                    | -31.10| 8.103| 8.09| 8.068| 0.013|And|                          |       |         |
 63901|113797|BD+36 2337 |4943|14 |     |      |196.43526026| 35.79885189|  9.58|  -37.04|   19.50|B9V                       | -13.00|10.917| 9.53| 8.289| 1.387|Phe|                          |14Phe  |         |
 63916|113847|BD+46 1847 |4945|   |     |AB    |196.46783043| 45.26848983|  7.54|  -14.80|   25.50|K0IIIb                    | -19.81| 9.997| 9.59| 9.177| 0.407|Scl|                          |       |         |
 63933|113865|BD+29 2365 |4948|   |     |ABC   |196.54288348| 29.02925258| 10.85|  -63.50|  -10.80|A3V                       |   3.70| 9.694| 8.75| 7.921| 0.944|Cet|                          |       |         |
 63945|113703|CD-47  8088|4940|   |F    |A     |196.56970989|-48.46325368|  8.36|  -31.40|  -17.50|B4 V                      |   6.00|10.638| 9.05| 7.661| 1.588|Cas|                          |       |FCas     |
 63948|113848|BD+21 2487 |4946|39 |     |ABP   |196.58867972| 21.15350992| 20.13|  -66.20|  -47.60|F4   V                    |  -0.80|10.580| 8.98| 7.464| 1.600|Scl|                          |39Scl  |         |
 63950|113866|BD+23 2538 |4949|40 |     |      |196.59410064| 22.61629052|  4.43|   31.60|  -43.00|M5III                     |  -5.15| 9.130| 8.68| 8.229| 0.450|Cet|                          |40Cet  |         |
 63952|113994|BD+62 1275 |4953|   |     |      |196.59525869| 62.04197400|  8.60|   16.56|  -43.52|G7III                     |  13.90| 9.030| 7.96| 7.061| 1.070|Oct|                          |       |         |
 63972|113778|CD-40  7682|4941|   |     |      |196.64603076|-41.58840742|  9.47|   44.56|  -14.52|K0 II/III                 |   1.90|12.950|11.36| 8.970| 1.590|Psc|                          |       |         |
 64003|113852|CD-35  8441|4947|   |     |      |196.72595582|-35.86182295| 13.02|   39.27|  -84.91|A1Va                      |  20.10| 9.181| 9.10| 9.017| 0.081|Cas|                          |       |         |
 64004|113791|CD-49  7644|4942|   |Ksi02|A     |196.72776284|-49.90621585|  6.98|  -26.12|  -12.06|B3 V                      |  14.30|10.476| 9.41| 8.530| 1.066|Psc|                          |       |Ksi02Psc |
 64022|113996|BD+28 2185 |4954|41 |     |      |196.79461605| 27.62490662|  9.84|   33.69|  -69.15|K5- III                   | -15.72| 8.973| 7.99| 7.148| 0.983|Scl|                          |41Scl  |         |
 64033|113823|CP-59  4740|4944|   |     |AB    |196.85129162|-59.86049058|  5.88|  -13.20|  -10.80|B9 IV + F8/G2             |   4.00|10.557| 9.01| 7.543| 1.547|Psc|                          |       |         |
 64053|113902|CP-52  6194|4951|   |     |      |196.90966880|-53.45971464|  9.99|  -37.38|  -20.23|B8/9 V                    |  22.00| 7.212| 6.28| 5.410| 0.932|Scl|                          |       |         |
 64077|114092|BD+28 2187 |4956|   |     |      |196.97358329| 27.55610791|  7.54|  -39.32|  -62.51|K4III                     | -12.31| 8.911| 8.09| 7.346| 0.821|Scl|                          |       |         |
 64078|114038|BD-09 3628 |4955|49 |     |      |196.97417898|-10.74038505| 10.61|   15.87|  -10.27|K1 III                    |  -9.10| 7.290| 6.81| 6.938| 0.480|Tuc|                          |49Tuc  |         |
 64094|113904|CD-64   699|4952|   |The  |AB    |197.02982835|-65.30601745|  0.26|   -1.90|   19.00|B0   IA+WC5.              | -28.40| 8.580| 6.99| 5.168| 1.590|Phe|                          |       |ThePhe   |
 64122|114113|BD-08 3491 |4957|   |G    |      |197.13536707| -8.98422880| 10.30|  -36.75|  -64.41|K1 III                    |  16.00|10.501|10.15| 9.666| 0.351|Cet|                          |       |GCet     |
 64166|114149|BD-22 3515 |4958|45 |Psi  |      |197.26367915|-23.11797272| 14.09|  -23.00|  -38.50|K0 III                    | -17.20| 9.690| 9.29| 8.815| 0.400|Cet|                          |45Cet  |PsiCet   |
 64179|114256|BD+10 2516 |4960|   |     |      |197.30176001| 10.02246782| 10.58|   21.87|   -0.50|K0III                     |  -0.63| 8.833| 7.69| 6.698| 1.143|Psc|                          |       |         |
 64181|114203|BD-08 3495 |4959|   |     |      |197.30946691| -9.53809916|  7.82|  -55.19|   -0.51|K1 III                    |   0.00| 8.998| 7.53| 6.200| 1.468|Scl|                          |       |         |
 64212|114357|BD+38 2407 |4964|   |     |      |197.41134711| 37.42313194|  9.39| -105.55|    4.65|K3III                     | -18.00|10.653| 9.25| 8.010| 1.403|Phe|                          |       |         |
 64217|114376|BD+39 2611 |4967|15 |     |BC    |197.42517481| 38.53387046|  2.70|  -12.10|    2.70|B7III                     |  -7.00|10.088| 9.56| 9.033| 0.528|Psc|                          |15Psc  |         |
 64224|114287|BD-09 3636 |4961|50 |     |      |197.43870177|-10.32930879|  4.70|  -13.69|   -8.27|K4 III                    |  -7.30| 8.779| 8.40| 8.029| 0.379|Cas|                          |50Cas  |         |
 64226|114326|BD+17 2595 |4962|   |     |      |197.44953124| 16.84864854|  4.85|  -65.42|  -15.34|K5III                     | -17.31|11.080|10.54|10.156| 0.540|Cet|                          |       |         |
 64231|114504|BD+63 1056 |4974|   |     |A     |197.45921315| 62.22914222|  4.30|  -27.90|   -6.90|A0IV                      | -16.70| 9.238| 8.85| 8.419| 0.388|Cet|                          |       |         |
 64238|114330|BD-04 3430 |4963|51 |The  |ABD   |197.48754970| -5.53892927| 10.33|  -36.28|  -31.22|A2IVs                     |  -4.20| 9.551| 7.96| 6.539| 1.591|Psc|                          |51Psc  |ThePsc   |
 64241|114378|BD+18 2697 |4968|42 |Alp  |AB    |197.49812571| 17.52911197| 56.10| -430.10|  137.80|F5V                       | -16.05|10.615| 8.96| 7.482| 1.655|Psc|Diadem                    |42Psc  |AlpPsc   |
 64246|114447|BD+39 2614 |4971|17 |     |A     |197.51361913| 38.49887226| 15.80|  -70.40|   45.70|F0V                       | -16.40| 9.413| 9.08| 8.714| 0.333|Psc|                          |17Psc  |         |
 64320|114365|CD-51  7329|4965|   |     |      |197.74360807|-52.56685341|  8.64|  -34.89|  -18.19|AP SI                     |  26.00|11.200|10.38| 9.628| 0.820|Cet|                          |       |         |
 64332|114435|CD-41  7648|4970|   |     |AB    |197.78725459|-42.23282808| 11.78|  -77.00|  -22.60|F5 IV                     | -12.80| 9.685| 8.67| 7.796| 1.015|And|                          |       |         |
 64348|114474|CD-42  8175|4973|   |     |      |197.84711471|-43.36850518| 14.67| -114.72|  -20.39|K0III                     |  -8.70| 8.064| 8.03| 7.979| 0.034|And|                          |       |         |
 64375|114576|CD-25  9653|4978|   |     |AB    |197.91351924|-26.55172595|  9.04|  -72.60|   -0.50|A3V                       | -21.00| 9.865| 9.20| 8.513| 0.665|Cet|                          |       |         |
 64390|114371|CP-69  1772|4966|   |     |A     |197.96408986|-69.94201959| 23.75|   34.83|    1.39|F3IV/V                    |   7.30| 8.575| 7.80| 7.073| 0.775|Cas|                          |       |         |
 64394|114710|BD+28 2193 |4983|43 |Bet  |A     |197.97051114| 27.87603771|109.54| -800.90|  882.20|G0V                       |   5.46| 9.143| 9.08| 9.005| 0.063|Psc|                          |43Psc  |BetPsc   |
 64395|114461|CD-62   699|4972|   |     |      |197.97114316|-63.30298550|  0.54|   -4.57|   -2.72|A8II/III                  |  -3.30|10.564| 9.75| 8.984| 0.814|Cet|                          |       |         |
 64407|114642|BD-15 3613 |4981|53 |     |A     |198.01451944|-16.19790312| 29.49|   95.50| -287.20|F5.5V                     | -12.70|10.099| 9.27| 8.469| 0.829|Cas|                          |53Cas  |         |
 64408|114613|CD-37  8437|4979|   |     |      |198.01444516|-37.80313624| 48.38| -381.68|   45.79|G3V                       | -11.20|10.970| 9.01| 6.979| 1.960|Cas|                          |       |         |
 64417|114724|BD+25 2610 |4984|   |     |AB    |198.03509808| 24.25812877|  7.59|  -12.60|  -43.00|K1III                     | -18.60| 8.578| 8.16| 7.719| 0.418|Psc|                          |       |         |
 64425|114529|CP-59  4815|4975|   |     |ABC   |198.07345486|-59.92053664|  8.61|  -35.20|  -16.70|B8Vn (CII)                |  12.00| 9.412| 8.86| 8.328| 0.552|Scl|                          |       |         |
 64437|115337|BD+81  416 |5009|   |     |AB    |198.10606334| 80.47128193|  4.81|   -6.50|   13.40|K0Ib                      |  -9.38| 9.549| 8.98| 8.409| 0.569|Phe|                          |       |         |
 64445|114780|BD+12 2565 |4986|   |     |      |198.13729834| 11.55617019|  3.89|  -52.22|  -30.13|M0III                     |  21.52| 9.341| 8.60| 7.881| 0.741|Psc|                          |       |         |
 64449|114793|BD+19 2648 |4987|   |     |      |198.14978778| 18.75176974|  8.67|  -69.30|    3.70|G8III                     | -17.90| 8.438| 6.75| 5.266| 1.688|Cas|                          |       |         |
 64466|114570|CP-65  2201|4977|   |     |      |198.20319315|-66.22676622| 11.02|   25.65|    7.83|A0V                       |   8.90| 6.432| 5.92| 5.432| 0.512|Cas|                          |       |         |
 64472|114707|CD-42  8196|4982|   |     |      |198.21191296|-42.69971196|  5.67|  -27.00|   -0.30|K0 III                    |  -1.80| 8.700| 8.14| 7.587| 0.560|Cas|                          |       |         |
 64478|114630|CD-59  4623|4980|   |     |AC    |198.23211336|-59.81634256| 23.72|   -4.60| -105.90|G0V                       |  15.47|12.744|11.62|10.410| 1.124|Phe|                          |       |         |
 64496|114889|BD+19 2649 |4992|   |     |      |198.30223868| 18.72712745|  9.41| -213.50|  -48.80|G8III                     | -22.40| 6.986| 6.74| 6.478| 0.246|Cep|                          |       |         |
 64515|114772|CD-50  7589|4985|   |     |AB    |198.34742774|-50.69978512|  8.91|  -34.40|  -18.70|B9.5 V                    |  -1.00| 9.040| 8.44| 7.800| 0.600|Cep|                          |       |         |
 64520|114846|BD-18 3562 |4990|54 |     |AB    |198.36187003|-18.82638116|  5.15|  -23.40|   -8.90|A0 V                      | -28.00|12.027|10.89| 9.300| 1.137|And|                          |54And  |         |
 64527|115227|BD+73  587 |5003|   |     |      |198.38311597| 72.79913215| 11.90|   16.63|  -15.17|A2V                       |   2.00| 8.077| 7.74| 7.392| 0.337|Psc|                          |       |         |
 64540|115004|BD+40 2633 |4997|   |     |      |198.42908972| 40.15284754|  7.10|  -51.23|   14.77|G8.5III CN0.5             | -22.10|10.807|10.02| 9.210| 0.787|Scl|                          |       |         |
 64557|114873|CD-42  8213|4991|   |     |      |198.49083320|-43.13916095|  9.40| -150.14|   21.40|K4- IIIb                  |  29.70| 8.533| 8.69| 8.743|-0.157|And|                          |       |         |
 64577|114946|BD-19 3651 |4995|55 |     |      |198.54570711|-19.93133473| 25.66| -119.65|  159.61|G9IV                      | -48.12| 8.284| 8.22| 8.214| 0.064|Cas|                          |55Cas  |         |
 64580|114835|CP-58  4738|4988|   |     |      |198.55062360|-58.68390819|  9.16|  -56.24|  -12.39|K0/1III                   |  -1.80| 9.252| 8.84| 8.419| 0.412|Phe|                          |       |         |
 64583|114837|CD-58  4940|4989|   |     |AB    |198.56428360|-59.10285954| 54.95| -248.81| -154.51|F6V Fe-0.4                | -64.00| 8.505| 8.54| 8.523|-0.035|Hyi|                          |       |         |
 64587|114533|CP-77   890|4976|   |     |      |198.57231906|-78.44744495|  2.67|   -9.39|   -3.51|F8Ib                      | -17.90| 9.309| 8.78| 8.355| 0.529|Scl|                          |       |         |
 64607|115046|BD+12 2572 |4998|   |     |A     |198.63017866| 11.33178486|  6.82|   68.40|  -52.40|K5III                     |   9.67|10.067| 8.86| 7.832| 1.207|Psc|                          |       |         |
 64623|114971|CD-48  8050|4996|   |     |AB    |198.68068009|-48.95680473| 13.86| -111.70|  -92.20|K1III                     |  55.60|10.154| 9.44| 8.800| 0.714|Cas|                          |       |         |
 64651|115050|CD-35  8547|4999|   |     |      |198.78954053|-36.37135763|  8.43|  -43.19|  -21.77|K1 III                    |  -4.30| 9.454| 8.26| 7.228| 1.194|Cet|                          |       |         |
 64661|114911|CP-67  2224|4993|   |Eta  |A     |198.81249060|-67.89456339|  8.52|  -36.00|   -9.50|B8V                       |  -8.10| 7.164| 7.07| 7.115| 0.094|Psc|                          |       |EtaPsc   |
 64682|114912|CP-69  1784|4994|   |     |      |198.85735803|-69.67919725| 11.22| -100.28|  -35.18|K2/3III                   | -11.70| 6.331| 6.06| 5.799| 0.271|Cet|                          |       |         |
 64692|115271|BD+41 2374 |5004|19 |     |AB    |198.88352098| 40.85517220| 13.50| -107.70|   17.50|A7   V                    | -21.10|10.852|10.16| 9.463| 0.692|Cet|                          |19Cet  |         |
 64725|115202|BD-19 3653 |5001|57 |     |      |198.99409265|-19.94282246| 25.99|  303.64| -114.86|K1III                     |  34.20| 9.687| 9.11| 8.565| 0.577|Scl|                          |57Scl  |         |
 64751|115319|BD+19 2655 |5007|   |     |      |199.05977688| 19.05171616|  9.86|  -95.96|    6.52|K0IV                      | -47.60| 9.150| 8.10| 7.197| 1.050|Cet|                          |       |         |
 64769|115308|BD-00 2674 |5005|   |     |      |199.10626256| -1.39046488|  8.41|  -33.65|  -30.69|F1IV                      | -11.00| 6.765| 6.82| 6.830|-0.055|And|                          |       |         |
 64774|115612|BD+69  694 |5018|   |     |      |199.11939848| 68.40796119|  7.63|  -13.92|   15.72|B8V                       |  -7.40|10.248| 9.75| 9.195| 0.498|Cet|                          |       |         |
 64779|115365|BD+20 2814 |5010|   |     |AC    |199.13470206| 19.78521742| 11.71| -105.90|   24.80|A6V                       | -32.30| 7.177| 7.03| 6.953| 0.147|Phe|                          |       |         |
 64790|115149|CP-64  2316|5000|   |     |      |199.18769143|-65.13812584| 25.82|  -98.51|  -54.59|F4V                       |  18.20|11.122|10.21| 9.411| 0.912|Scl|                          |       |         |
 64792|115383|BD+10 2531 |5011|59 |E    |A     |199.19463899|  9.42369289| 56.95| -334.90|  191.00|G0IV                      | -27.00| 8.928| 7.69| 6.613| 1.238|Cas|                          |59Cas  |ECas     |
 64803|115310|CD-30 10457|5006|   |R    |      |199.22129649|-31.50607658| 12.66|   33.69|  -48.73|K0 III                    |  12.90| 9.399| 8.42| 7.559| 0.979|And|                          |       |RAnd     |
 64820|115211|CD-66  1385|5002|   |     |      |199.30431235|-66.78342286|  2.73|  -15.03|   -6.63|K2Ib/II                   | -10.80| 7.632| 7.19| 6.720| 0.442|Cas|                          |       |         |
 64822|115331|CD-43  8165|5008|   |     |      |199.30801309|-43.97944135| 15.41|   -0.30|   -9.80|A2MA4-A9/F0               | -12.00| 7.432| 7.20| 6.975| 0.232|And|                          |       |         |
 64823|115478|BD+14 2591 |5013|   |     |      |199.31509743| 13.67564706| 10.05|    7.48|   43.25|K3.  III                  | -25.05| 9.969| 8.71| 7.667| 1.259|Tuc|                          |       |         |
 64838|115488|BD+00 3040 |5014|   |     |AB    |199.37455387| -0.67604128| 12.28|  -69.40|   -5.30|A8IV/V                    |   6.30|10.001| 8.93| 8.001| 1.071|Cas|                          |       |         |
 64844|115604|BD+41 2380 |5017|20 |     |      |199.38598809| 40.57256274| 12.34| -125.30|   18.51|A9IImF2                   |   8.62| 9.111| 9.01| 8.886| 0.101|Scl|                          |20Scl  |         |
 64852|115521|BD+06 2722 |5015|60 |Sig  |      |199.40119508|  5.46984504|  4.83|   -6.90|   11.60|M1III                     | -28.26| 9.040| 7.92| 6.955| 1.120|And|                          |60And  |SigAnd   |
 64906|115735|BD+50 1994 |5023|21 |     |      |199.56058504| 49.68201507| 11.87|  -34.10|   19.31|B9.5V                     |  -2.90| 9.178| 9.24| 9.267|-0.062|Cet|                          |21Cet  |         |
 64924|115617|BD-17 3813 |5019|61 |     |A     |199.60404981|-18.30861040|116.89|-1070.36|-1063.69|G7V                       |  -8.13|10.837| 9.19| 7.681| 1.647|Psc|                          |61Psc  |         |
 64927|115723|BD+34 2410 |5022|   |     |      |199.61544788| 34.09829284|  6.51|   29.12|    5.85|K4/5III                   | -19.97| 7.726| 7.28| 6.842| 0.446|Phe|                          |       |         |
 64933|115529|CD-50  7660|5016|   |     |      |199.64538060|-51.28574669|  5.35|  -25.62|  -11.84|A0 V                      |  -4.40| 7.437| 5.99| 4.708| 1.447|Cas|                          |       |         |
 64954|115709|BD+04 2721 |5021|   |     |AB    |199.71314254|  3.68766956|  6.18|  -53.60|  -16.10|A1IV-V                    |  -1.00| 9.456| 9.10| 8.720| 0.356|And|                          |       |         |
 64962|115659|BD-22 3554 |5020|46 |Gam  |A     |199.73022254|-23.17141256| 24.37|   68.99|  -41.85|G8IIIa                    |  -3.60| 8.730| 8.26| 7.825| 0.470|Cas|                          |46Cas  |GamCas   |
 64979|115810|BD+35 2435 |5025|   |     |A     |199.76780339| 35.12793583| 15.87|  -29.70|   17.00|A7IV                      |  -7.90| 9.392| 9.35| 9.275| 0.042|Cas|                          |       |         |
 64994|115439|CP-71  1458|5012|   |     |      |199.82913936|-72.03547768|  5.88|   -5.67|  -51.33|K3III                     | -31.30| 8.795| 7.14| 5.148| 1.655|And|                          |       |         |
 65072|116010|BD+40 2647 |5032|23 |     |      |200.07914885| 40.15055595|  6.41|  -57.83|   -2.91|K1III                     | -20.82|10.399| 9.90| 9.361| 0.499|Scl|                          |23Scl  |         |
 65108|115778|CP-59  4912|5024|   |     |A     |200.14610020|-59.77275791|  7.47|  -31.95|   -9.93|F3/5II                    | -10.00|11.014|10.25| 9.560| 0.764|Scl|                          |       |         |
 65109|115892|CD-36  8497|5028|   |Iot  |      |200.15027327|-36.71208083| 55.49| -341.15|  -86.18|A2 V                      |   0.10| 8.772| 7.74| 6.870| 1.032|Psc|                          |       |IotPsc   |
 65112|115823|CD-52  5567|5026|   |     |      |200.15772680|-52.74778485|  7.98|  -30.52|  -16.53|B5 III/IV                 |  10.00| 9.212| 8.78| 8.312| 0.432|Phe|                          |       |         |
 65119|115995|BD+03 2758 |5031|   |     |AB    |200.17335571|  2.94231658|  7.38|  -61.44|  -10.95|A2V                       |  -4.00| 9.220| 8.26| 7.395| 0.960|Psc|                          |       |         |
 65129|115842|CD-55  5094|5027|   |     |      |200.20142999|-55.80069809|  0.65|   -3.07|    3.86|B0.5Ia                    |  -3.00| 9.708| 9.40| 9.058| 0.308|Cas|                          |       |         |
 65144|115912|CD-46  8580|5029|   |     |      |200.24067927|-46.88005831|  7.89|  -73.89|   20.54|K1 III                    |  -3.40| 9.601| 8.75| 7.967| 0.851|Psc|                          |       |         |
 65183|116061|BD-18 3587 |5033|   |     |      |200.37423831|-19.48928658| 11.26|  -78.56|   -2.92|A1V                       |  -7.70| 9.861| 9.33| 8.768| 0.531|Scl|                          |       |         |
 65198|116160|BD+02 2664 |5037|   |     |      |200.42366103|  2.08737066| 14.77|  -58.88|  -52.89|A1V                       |  -7.00|11.374|10.60| 9.857| 0.774|Cet|                          |       |         |
 65230|116303|BD+44 2269 |5045|   |     |A     |200.51654896| 43.90333351|  7.12|  -61.30|   14.80|A7   M                    |  -1.10| 8.729| 8.24| 7.736| 0.489|Cas|                          |       |         |
 65241|116235|BD+05 2737 |5040|64 |     |      |200.54054038|  5.15485085| 15.17|  -69.48|  -35.39|A2   M                    |  -8.40| 8.057| 7.04| 6.158| 1.017|Cas|                          |64Cas  |         |
 65247|116084|CD-51  7465|5036|   |     |      |200.56787395|-52.18295144|  0.95|   -4.19|   -1.38|B2 IB                     | -15.00| 9.948| 9.25| 8.553| 0.698|Phe|                          |       |         |
 65271|116087|CP-60  4627|5035|   |J    |AB    |200.65824915|-60.98835616|  9.20|  -34.20|  -19.80|B3V                       |   6.00| 9.054| 8.61| 8.160| 0.444|Cas|                          |       |JCas     |
 65288|116197|CD-47  8260|5038|   |     |AB    |200.71874534|-47.94321903|  3.30|   12.80|   -0.40|A4 V                      |   6.10| 7.368| 6.84| 6.289| 0.528|Cas|                          |       |         |
 65289|115967|CP-71  1467|5030|   |     |AB    |200.71925377|-72.14667390|  3.56|  -17.20|  -11.70|B5V                       |  33.00| 9.666| 8.18| 6.834| 1.486|Cet|                          |       |         |
 65301|116292|BD-16 3650 |5044|63 |     |      |200.75477206|-17.73520383| 10.66|  -49.89|  -29.39|K0 III                    | -26.24|13.170|11.56| 9.889| 1.610|Phe|                          |63Phe  |         |
 65303|116226|CD-47  8261|5039|   |     |      |200.76086606|-48.56278553|  1.54|   -9.10|   -2.09|B5 V                      | -41.00| 9.763| 8.92| 8.147| 0.843|Scl|                          |       |         |
 65311|116278|CD-32  9322|5043|   |     |      |200.78601569|-33.18988732|  3.99|  -17.56|    4.54|M2 III                    | -12.90| 9.451| 8.97| 8.482| 0.481|Cet|                          |       |         |
 65323|116365|BD-04 3469 |5047|65 |     |      |200.82877161| -4.92438795|  2.62|  -19.47|  -15.86|K4 III                    |   9.80| 6.399| 5.83| 5.262| 0.569|Cas|                          |65Cas  |         |
 65372|116338|CD-49  7884|5046|   |     |      |200.96744649|-49.82273404|  8.28|  -80.39|  -31.66|G8 III                    | -31.90| 9.571| 8.96| 8.337| 0.611|Scl|                          |       |         |
 65376|116581|BD+37 2404 |5052|   |     |      |200.97466242| 37.03394783|  2.81|   15.08|  -10.97|M3III                     |  -0.46|11.818|12.06|12.320|-0.242|Psc|                          |       |         |
 65378|116656|BD+55 1598 |5054|79 |Zet  |AB    |200.98091604| 54.92541525| 41.73|  121.23|  -22.01|A1V                       |  -6.31| 8.567| 8.23| 7.864| 0.337|Cas|Mizar                     |79Cas  |ZetCas   |
 65387|116243|CP-63  2732|5041|   |M    |      |201.00184758|-64.53561682| 12.53|   28.93|  -21.49|G5IIb                     |  12.30| 9.050| 8.51| 7.957| 0.540|Cas|                          |       |MCas     |
 65417|116594|BD+13 2663 |5053|   |     |A     |201.12724083| 12.43174553|  5.24|  -10.10|   35.80|K0III                     |  -8.90| 8.436| 6.84| 5.141| 1.596|Phe|                          |       |         |
 65420|116568|BD-04 3472 |5050|66 |     |A     |201.13806832| -5.16392181| 33.37|  153.10|  -32.00|F4Vs                      |   8.90|10.974| 9.78| 8.646| 1.194|Scl|                          |66Scl  |         |
 65466|116706|BD+24 2578 |5057|   |     |      |201.27785330| 23.85443813| 11.43|   -9.59|   -7.90|A3Vs                      |  -1.50| 8.291| 7.97| 7.658| 0.321|Cas|                          |       |         |
 65468|116244|CP-74  1057|5042|   |Iot01|      |201.28066817|-74.88749740| 14.75| -107.80| -132.24|K0III                     |  27.50| 7.626| 7.54| 7.443| 0.086|Cas|                          |       |Iot01Cas |
 65474|116658|BD-10 3672 |5056|67 |Alp  |A     |201.29835228|-11.16124494| 13.06|  -42.35|  -30.67|B1IV                      |   0.00|10.348| 9.96| 9.492| 0.388|Cet|Spica                     |67Cet  |AlpCet   |
 65477|116842|BD+55 1603 |5062|80 |G    |D     |201.30589840| 54.98799865| 39.91|  119.00|  -18.30|A6Vnn                     |  -9.60| 9.951| 9.15| 8.413| 0.801|Cet|Alcor                     |80Cet  |GCet     |
 65479|116457|CP-63  2743|5048|   |     |A     |201.30889910|-64.48509211| 25.51| -154.52|  -22.32|F3IV                      |  -2.30| 9.293| 8.73| 8.162| 0.563|And|                          |       |         |
 65522|116458|CP-69  1838|5049|   |     |      |201.45999484|-70.62725073|  7.35|  -55.51|    0.68|ApCo pec                  |   1.40|12.029|11.01| 9.940| 1.019|Cet|                          |       |         |
 65530|117043|BD+64  949 |5070|   |     |      |201.50153015| 63.26073874| 47.24| -392.45|  220.70|G5V                       | -30.95| 6.643| 6.20| 5.743| 0.443|Psc|                          |       |         |
 65535|116713|CD-39  8246|5058|   |     |      |201.53182942|-39.75496497| 16.04|  185.80|  -51.20|K0.5IIIb Ba3              |  67.40| 8.837| 8.53| 8.199| 0.307|Cas|                          |       |         |
 65536|117187|BD+73  592 |5073|   |     |A     |201.53343006| 72.39149827|  2.78|   22.54|   -9.69|M1IIIab                   | -52.44| 9.255| 8.75| 8.296| 0.505|Scl|                          |       |         |
 65545|116831|BD-00 2686 |5059|   |     |      |201.54783704| -1.19248371| 12.77| -113.04|    4.87|A8 V                      | -14.20|10.005| 8.91| 7.946| 1.095|Psc|                          |       |         |
 65550|116957|BD+46 1868 |5067|   |     |      |201.56907073| 46.02810366|  7.92|   30.43|  -18.85|K0III:                    |   5.34|10.542| 8.95| 6.941| 1.592|Tuc|                          |       |         |
 65581|116870|BD-11 3516 |5064|68 |I    |      |201.68018547|-12.70761269|  7.41| -129.19|  -20.82|K5 III                    | -28.60| 9.184| 8.17| 7.296| 1.014|Tuc|                          |68Tuc  |ITuc     |
 65593|116835|CD-40  7894|5060|   |     |      |201.73384916|-41.49756487|  1.67|   -9.13|    1.62|K3 III                    | -24.50| 9.621| 8.79| 8.068| 0.831|Psc|                          |       |         |
 65595|117566|BD+79  422 |5091|   |     |      |201.73841518| 78.64379559| 11.41| -140.74|   30.85|G3IIIb Fe-1 CH1           |  13.70|11.300|10.02| 8.800| 1.280|Psc|                          |       |         |
 65603|117200|BD+65  935 |5074|   |     |A     |201.76959702| 64.73544095| 13.97|  -70.50|   35.60|F5VmF0V                   | -15.90| 7.511| 6.44| 5.498| 1.071|Scl|                          |       |         |
 65606|116836|CD-48  8202|5061|   |     |AB    |201.77666593|-49.14369512|  2.29|  -15.60|   -5.89|A0 III/IV                 | -18.30| 8.795| 7.61| 6.587| 1.185|Tuc|                          |       |         |
 65613|117201|BD+65  936 |5075|   |     |B     |201.79432760| 64.71945149| 14.55|  -72.40|   34.90|F2Vs                      | -15.60|10.591| 9.58| 8.694| 1.011|Cas|                          |       |         |
 65621|116873|CD-39  8260|5065|   |     |A     |201.81114271|-40.16269056|  8.08|  -16.40|   10.40|G8/K0 III                 |  14.00| 7.098| 6.77| 6.426| 0.328|And|                          |       |         |
 65628|116579|CP-74  1059|5051|   |Iot02|      |201.82739598|-74.69172236|  6.27|  -34.56|  -13.89|B9V                       |  -3.00| 8.760| 8.24| 7.698| 0.520|Scl|                          |       |Iot02Scl |
 65630|116862|CD-48  8206|5063|   |     |      |201.83608557|-49.38128403|  1.25|   -5.49|   -3.43|B3 III/IV                 |  -6.00| 8.978| 8.44| 7.897| 0.538|Cet|                          |       |         |
 65639|116976|BD-15 3668 |5068|69 |     |      |201.86349213|-15.97363072| 11.64| -121.78|   20.65|K0III-IIIb CN1.5 CH0.5    | -12.90| 9.361| 8.21| 7.203| 1.151|Psc|                          |69Psc  |         |
 65678|117242|BD+53 1622 |5076|   |     |      |201.99886519| 52.74564271| 10.25| -102.19|  -22.10|A9V                       |  -7.00| 9.968| 9.52| 9.006| 0.448|Cet|                          |       |         |
